id,question,option1,option2,option3,option4,correctAnswer,rationale
Question 11,"A 44-year-old woman presents with bronzed skin, weakness, weight loss, nausea, abdominal pain, fatigue, low blood pressure, and low blood glucose. She recently stopped taking long-term corticosteroids abruptly. Which disorder best matches the scenario, and what is the dangerous complication?",Hyperthyroidism with thyroid storm,Adrenal cortical insufficiency with risk of acute adrenal crisis,Hyperparathyroidism with renal stones,Hypopituitarism with diabetes insipidus,B,"The lecture linked Addison's disease and abrupt steroid discontinuation to adrenal cortical insufficiency and acute adrenal crisis, with bronze skin, weakness, weight loss, hypotension, and hypoglycemia."
Question 12,"A patient with Addison's disease is admitted with vomiting, severe weakness, hypotension, tachycardia, and lab evidence of sodium loss and potassium retention. Which nursing intervention is the highest priority based on the lecture's discussion of the cause and body response?",Administer IV corticosteroid therapy and support vascular volume,Restrict sodium and encourage ambulation,Give levothyroxine and warm blankets,Start antithyroid medication and eye lubricant,A,"The teacher emphasized that adrenal crisis is a cortisol problem, not just a fluid problem, so IV corticosteroid therapy with vascular support is critical."
Question 13,"A patient with adrenal cortical insufficiency says, 'I can skip my medicine on days I feel fine.' Which reply best reflects the lecture's teaching priorities, hallmark risk, and stress-related complication concern?",That is fine if your blood pressure is normal that day.,"You should take replacement therapy daily because missing doses can lead to adrenal insufficiency and even adrenal crisis, especially during stress.","Only mineralocorticoids matter, so you can skip glucocorticoids.",Stop the medicine if you notice weight gain.,B,"The lecture strongly stressed daily hormone replacement, medical alert identification, and recognition of adrenal insufficiency because stress can trigger crisis."
Question 14,"A 36-year-old patient has moon face, truncal obesity, a buffalo hump, hyperglycemia, fluid retention, muscle wasting, fragile skin, and repeated infections. The provider suspects an ACTH-driven process. Which disease best fits, and what hormone overproduction is changing the body?",Cushing's disease from excess glucocorticoid effect related to excess ACTH,Addison's disease from lack of cortisol and aldosterone,Hypothyroidism from low T3/T4,Hypoparathyroidism from low PTH,A,"The lecture described hypercortisolism or Cushing's disease as excessive circulating glucocorticoid often related to ACTH excess, causing central fat redistribution, hyperglycemia, muscle loss, skin thinning, and infection risk."
Question 15,"A patient with suspected hypercortisolism asks why the nurse keeps monitoring glucose, potassium, skin integrity, daily weight, and wound healing. Which explanation best matches the lecture's concept of hormone overproduction and resulting body change?",Too much cortisol tends to lower metabolism and cause tetany,"Too much cortisol and aldosterone activity can raise glucose, lower potassium, increase fluid retention, thin the skin, delay wound healing, and increase infection risk",Too much cortisol causes low sodium and low blood pressure only,Too much cortisol mainly affects vision and hearing,B,"The assessment section for adrenal cortex hyperfunction emphasized hyperglycemia, hypokalemia, fluid retention, skin thinning, delayed wound healing, and infection risk."
Question 16,"A 41-year-old patient arrives with sudden severe hypertension, pounding headache, tachycardia, palpitations, diaphoresis, and hyperglycemia. The provider suspects a rare adrenal medulla tumor that acts like the body is in constant fight-or-flight mode. Which disorder best fits, and what hormones are being overproduced?","Pheochromocytoma with excess catecholamines, especially epinephrine and norepinephrine",Addison's disease with low cortisol and low aldosterone,Hypothyroidism with low T3 and T4,Hypoparathyroidism with low PTH,A,"The lecture framed pheochromocytoma as a catecholamine-secreting tumor causing classic fight-or-flight symptoms: severe hypertension, tachycardia, sweating, headache, and hyperglycemia."
Question 17,"A nurse caring for a patient with pheochromocytoma is told to keep the room calm and quiet, maintain bedrest with the head of the bed elevated, and watch for stroke or dysrhythmia. Which explanation best matches the lecture?","Extra calcium lowers stimulation, so the patient needs rest until calcium normalizes","The tumor secretes catecholamines, so stress and stimulation can worsen vasoconstriction, hypertension, tachydysrhythmias, and cerebral hemorrhage risk",The patient is hypometabolic and requires stimulation to maintain blood pressure,The patient has DI and needs sensory input to assess thirst,B,"The teacher stressed that pheochromocytoma is dangerous because catecholamine surges can worsen blood pressure, dysrhythmias, and stroke risk, so a calm, quiet environment is important."
Question 18,"A 50-year-old patient reports fatigue, sleeping more, weight gain, decreased appetite, and severe cold intolerance. She has dry coarse skin, fragile hair, and puffiness around the face. Which disorder best explains these hallmark signs, and which hormone pattern is expected in primary disease?",Hyperthyroidism with low TSH and high T3/T4,Hypothyroidism with high TSH and low T3/T4,Cushing's disease with high cortisol and high glucose,Hyperparathyroidism with high calcium and low phosphorus,B,The lecture emphasized that hypothyroidism slows metabolism and in primary disease shows high TSH with low T3 and T4.
Question 19,"A patient with long-standing untreated hypothyroidism becomes very lethargic and is now bradycardic, hypotensive, hypothermic, and hypoxic with CO2 retention. Which major complication from the lecture is most likely occurring, and why is it dangerous?","Thyroid storm, because metabolism is accelerating too much","Myxedema coma, because severe low thyroid hormone slows respirations, cardiovascular function, and temperature regulation","Adrenal crisis, because ACTH is too high","Pheochromocytoma crisis, because catecholamines are depleted",B,"The lecture highlighted myxedema coma as the major hypothyroid emergency with hypoxia, CO2 retention, hypothermia, bradycardia, hypotension, hyponatremia, and hypoglycemia."
Question 20,"A patient newly prescribed levothyroxine says she plans to double the dose when she feels especially tired. Which response best reflects the lecture's teaching about hormone replacement, body effects, and complication risk?",That is safe because the medication works slowly and cannot cause problems.,"You should take it exactly as prescribed, usually in the morning before meals, because too much replacement can push you toward hyperthyroid effects and strain the heart.",Double doses are fine on weekends only.,You should take it only when symptoms return.,B,"The lecture stressed daily morning dosing, not self-adjusting doses, and watching for signs of both hypo- and hyperthyroidism because the heart may not tolerate excess hormone."
Question 21,"A 27-year-old patient has weight loss despite increased appetite, tachycardia, insomnia, nervousness, frequent stools, and a noticeable thyroid bruit. Her eyes appear prominent. Which disorder best fits this cluster, and what cause did the lecture stress most?",Primary hypothyroidism due to Hashimoto disease,"Hyperthyroidism, most commonly Graves' disease",Addison's disease caused by adrenal destruction,Hypopituitarism caused by low ACTH,B,"The teacher repeatedly emphasized Graves' disease as the most common cause of hyperthyroidism and linked it with weight loss, tachycardia, increased appetite, thyroid bruit, and exophthalmos."
Question 22,"A hyperthyroid patient suddenly develops fever, systolic hypertension, tachycardia, abdominal pain, tremors, and altered level of consciousness. Which complication is occurring, and what should the nurse understand about the underlying hormone problem?",Addisonian crisis caused by low cortisol,Thyroid storm caused by severe excess thyroid hormone and extreme hypermetabolism,Myxedema coma caused by low thyroid hormone,Hypocalcemic crisis caused by low PTH,B,"The lecture described thyroid storm as the major hyperthyroid emergency with tachycardia, fever, hypertension, abdominal pain, tremors, and level-of-consciousness changes from severe excess thyroid hormone."
Question 23,"A patient develops numbness around the mouth, tingling in the hands, painful muscle spasms, and tetany after neck surgery for thyroid cancer. The nurse notes a positive Chvostek sign. Which disorder best explains the scenario, and what hormone deficiency caused the body changes?",Hypoparathyroidism caused by low PTH leading to hypocalcemia,Hyperparathyroidism caused by high PTH leading to hypercalcemia,Hyperthyroidism caused by excess TSH leading to tetany,Diabetes insipidus caused by low ADH leading to tetany,A,"The lecture stressed that accidental parathyroid removal after thyroid surgery can cause low PTH, low calcium, tingling, spasms, tetany, and positive Chvostek or Trousseau signs."
Question 24,"A patient with chronic hypoparathyroidism asks why both calcium and vitamin D are prescribed. Which answer best reflects the lecture's explanation of the cause, hormone deficiency, and effect on the body?","Vitamin D prevents excessive catecholamine release, and calcium lowers TSH","Low PTH reduces calcium mobilization and vitamin D activation, so calcium must be replaced and vitamin D is needed to support intestinal absorption","Vitamin D replaces aldosterone, and calcium replaces cortisol","Low PTH causes hypercalcemia, so calcium is given to dilute serum phosphorus",B,"The lecture explained that low PTH means calcium is not mobilized or absorbed properly, and vitamin D activation is impaired, so both calcium and vitamin D are needed."
Question 25,"A 63-year-old patient reports constipation, abdominal discomfort, lethargy, confusion, generalized bone pain, and recurrent kidney stones. Labs show high calcium. The provider suspects excessive osteoclastic activity driven by a parathyroid problem. Which diagnosis best fits, and what body changes explain the complication pattern?",Hypoparathyroidism causing low calcium and tetany,"Hyperparathyroidism causing bone demineralization, hypercalcemia, hypercalciuria, and renal calculi",Hypothyroidism causing slowed metabolism and edema,Diabetes insipidus causing hypernatremia and excessive thirst,B,"The lecture tied hyperparathyroidism to excess PTH, bone breakdown, hypercalcemia, hypercalciuria, constipation, confusion, bone pain, and kidney stones."
